Pais,Ano,ENTR,TUTT,EMPE,Flag_Outlier_Prod,PROD,TAMANHO_MEDIO
CZE,2011,24633.0,165340.70703125,57256.0,1,2.8877446386623236,2.324361628709455
CZE,2012,24739.0,165015.15625,59713.0,1,2.7634712081121364,2.4137192287481306
CZE,2013,24749.0,165469.216796875,61839.0,1,2.6758068014824787,2.498646409955958
CZE,2014,25723.0,173088.541015625,64422.0,1,2.686792415876952,2.504451269292073
CZE,2015,27251.0,191795.90625,67716.0,1,2.832357290005316,2.4848996367105793
CZE,2016,30218.0,204885.27734375,71963.0,1,2.847091940910607,2.381461380634059
CZE,2017,34717.0,229728.56640625,77232.0,1,2.9745256681977676,2.224616182273814
CZE,2018,38097.0,256716.203125,80468.0,1,3.190289346386141,2.1121873113368506
CZE,2019,40592.0,288310.046875,85917.0,1,3.355681027910658,2.116599329917225
CZE,2020,43664.0,307666.33984375,87819.0,1,3.5034142935327206,2.0112449615243677
CZE,2021,46572.0,339312.31640625,91135.0,1,3.72318336979481,1.9568624924847549
CZE,2022,50246.0,388349.87890625,97509.0,1,3.9827080465008358,1.9406320901166263
DEU,2010,67974.0,85544.1982421875,486465.0,0,0.17584861858959536,7.156633418660076
DEU,2011,74954.0,98303.3984375,533897.0,0,0.18412427572640416,7.122995437201483
DEU,2012,76185.0,105988.001953125,562360.0,0,0.1884700226778665,7.381505545711098
DEU,2013,79734.0,112685.2001953125,616100.0,0,0.1829008281047111,7.72694208242406
DEU,2014,92565.0,121223.3017578125,660788.0,0,0.18345263799859032,7.138637714038784
DEU,2015,98031.0,126565.5986328125,681514.0,0,0.1857123971522412,6.952025379726821
DEU,2016,100510.0,140123.30078125,718326.0,0,0.1950692314927345,7.146811262560939
DEU,2017,107979.0,152361.005859375,773038.0,0,0.19709381150651714,7.159151316459682
DEU,2018,106747.0,166266.60546875,841753.0,0,0.19752422084477275,7.885495611117877
DEU,2019,104240.0,173516.69921875,849831.0,0,0.20417788856696215,8.152638142747506
DEU,2020,99598.0,172516.900390625,850995.0,0,0.20272375324252787,8.544298078274664
DEU,2021,107577.0,196486.482421875,922334.0,0,0.2130318110596324,8.573709993771903
DEU,2022,108665.0,215691.2734375,1014270.0,0,0.21265666285850907,9.33391616435835
DNK,2010,9565.0,71425.5673828125,46947.0,0,1.5214085539611157,4.908207004704653
DNK,2011,10279.0,74318.9873046875,58764.0,0,1.2647026632749216,5.716898530985504
DNK,2012,10560.0,75890.7529296875,59559.0,0,1.2742113354772158,5.640056818181818
DNK,2013,10897.0,76412.89404296875,59716.0,0,1.2796050311971456,5.480040378085712
DNK,2014,11389.0,78583.28125,60049.0,0,1.3086526211926925,5.272543682500658
DNK,2015,11417.0,83903.6708984375,62110.0,0,1.3508882772248834,5.440133134798984
DNK,2016,12167.0,88757.953125,56443.0,0,1.5725236632531936,4.6390235883948385
DNK,2017,12820.0,94281.28125,58843.0,0,1.6022514360246758,4.5899375975039005
DNK,2018,13103.0,97164.390625,62166.0,0,1.5629828302448283,4.7444096771731665
DNK,2019,13379.0,105275.0,64598.0,0,1.6296944177838324,4.8283130278795126
DNK,2020,13460.0,107239.8466796875,65706.0,0,1.6321164989451116,4.881575037147103
DNK,2021,13668.0,120951.501953125,68962.0,0,1.753886226517865,5.045507755340942
DNK,2022,14703.0,134503.94921875,74081.0,0,1.815633552715946,5.038495545126845
ESP,2010,26395.0,23363.79956054688,207864.0,0,0.1123994513746819,7.875127865125971
ESP,2011,27405.0,24509.79956054688,212553.0,0,0.11531147318808428,7.755993431855501
ESP,2012,29918.0,25560.30078125,217645.0,0,0.11744033072779067,7.274717561334314
ESP,2013,30444.0,25640.99963378906,212007.0,0,0.12094411804227718,6.963835238470635
ESP,2014,32508.0,27241.39965820313,217139.0,0,0.12545604271090466,6.679555801648825
ESP,2015,34867.0,28942.80041503906,238122.0,0,0.12154609996152838,6.829437577078613
ESP,2016,40974.0,30981.099609375,252824.0,0,0.12254018451323846,6.170351930492507
ESP,2017,44181.0,33975.69995117188,270807.0,0,0.12546093694465757,6.129490052284919
ESP,2018,42667.0,34368.00048828125,288613.0,0,0.11907987681872005,6.764314341294209
ESP,2019,43690.0,37515.20166015625,308720.0,0,0.12151853349363906,7.066147859922179
ESP,2020,46031.0,37257.79931640625,331622.0,0,0.11235020389602092,7.204318828615499
ESP,2021,46400.0,39960.30834960938,345610.0,0,0.11562254665550586,7.448491379310345
ESP,2022,48577.0,48980.1611328125,406593.0,0,0.12046484108878534,8.370072256417647
EST,2010,1783.0,375.4000053405766,7354.0,0,0.05104704995112546,4.12450925406618
EST,2011,2177.0,427.50001525878884,8115.0,0,0.05268022369177928,3.7276067983463483
EST,2012,2405.0,491.3000030517582,8809.0,0,0.055772505738648906,3.6627858627858627
EST,2013,2790.0,644.400009155273,9416.0,0,0.06843670445574267,3.3749103942652328
EST,2014,2950.0,743.199981689453,10307.0,0,0.07210633372362986,3.4938983050847456
EST,2015,3361.0,818.5,10948.0,0,0.07476251370113263,3.2573638797976794
EST,2016,3584.0,933.100006103515,11500.0,0,0.08113913096552305,3.208705357142857
EST,2017,4206.0,206.5,2499.0,0,0.08263305322128851,0.594151212553495
EST,2018,4610.0,1456.200027465818,14984.0,0,0.09718366440642139,3.2503253796095444
EST,2019,5244.0,1836.499969482424,17142.0,0,0.10713452161255535,3.2688787185354693
EST,2020,5836.0,2106.000030517576,19576.0,0,0.10758071263371352,3.3543522960932144
EST,2021,8433.0,2890.990020751958,21622.0,0,0.13370594860567747,2.5639748606664297
EST,2022,10126.0,4323.519958496094,25018.0,0,0.17281637055304555,2.4706695634999014
FIN,2010,5757.0,6382.900207519531,45609.0,0,0.13994826037666977,7.9223553934340805
FIN,2011,5989.0,6071.10009765625,43182.0,0,0.14059330502654463,7.210218734346301
FIN,2012,6167.0,6656.5,45888.0,0,0.14505971059972106,7.440895086752067
FIN,2013,6424.0,0.0,48958.0,0,0.16205761334000238,7.69387048518144
FIN,2014,6547.0,9315.900390625,52028.0,0,0.1790555160802837,7.9468458836108145
FIN,2015,6886.0,10394.80041503906,53229.0,0,0.195284533149957,7.7300319488817895
FIN,2016,6995.0,11093.400390625,56597.0,0,0.19600686238890755,8.09106504646176
FIN,2017,7359.0,12206.79956054688,61804.0,0,0.19750824478264967,8.39842369887213
FIN,2018,7513.0,11073.80004882813,63538.0,0,0.1742862546637938,8.457074404365766
FIN,2019,7921.0,11839.69982910156,66416.0,0,0.1782657767571302,8.384799899002651
FIN,2020,8381.0,12532.09985351563,69083.0,0,0.18140642203603824,8.24281112039136
FIN,2021,14616.0,13016.11962890625,66497.0,0,0.19573995261299382,4.549603174603175
FIN,2022,15168.0,13700.53002929688,70284.0,0,0.194930994668728,4.63370253164557
FRA,2010,70184.0,55898.6005859375,350028.0,0,0.15969751158746587,4.987290550552832
FRA,2011,70682.0,59895.2001953125,363378.0,0,0.164828911478715,5.14102600379163
