Pais,Ano,ENTR,TUTT,EMPE,Flag_TUTT_Zero_Suspeito,Flag_TUTT_Ausente_Ou_Imputado,Flag_Outlier_Prod,PROD,TAMANHO_MEDIO
HUN,2021,0.45595279436874137,7.689248835168365,-0.2325173359643349,0,0,1,3.953992442623713,-1.4320466645548544
HUN,2022,0.48245285152907985,8.921725109462855,-0.20854511256700947,0,0,1,4.35567953145588,-1.399498468028748
IRL,2010,-0.5714230775839515,-0.2609408056779263,-0.5053077750602867,0,0,0,-0.21907124557093896,-0.28482211079920855
IRL,2011,-0.572420391563104,-0.26591033438612754,-0.5053077750602867,0,0,0,-0.2261117800903099,-0.2749867063863295
IRL,2012,-0.5442106532956469,-0.21220853583329058,-0.4653188352181017,0,0,0,-0.1873033720346633,-0.061713907111101834
IRL,2013,-0.5340665453934098,-0.19829712462330906,-0.44250933975998274,0,0,0,-0.18842767604722183,0.0967047911548099
IRL,2014,-0.529336427663715,-0.18448418540058562,-0.41365810965124994,0,0,0,-0.1930116487302576,0.36417032238374586
IRL,2015,-0.5309606247154777,-0.20196952683582178,-0.42362196486234527,0,0,0,-0.2036047442842969,0.2728088838286167
IRL,2016,-0.5258600760792405,-0.2175299305013342,-0.3913381838517443,0,0,0,-0.23257632105944465,0.5665831886376609
IRL,2017,-0.5049734718872748,-0.21139024508222382,-0.3640279855093283,0,0,0,-0.23757677377165104,0.6181259119759571
IRL,2018,-0.5016110990432748,-0.18686595868137762,-0.3387762050497181,0,0,0,-0.2281682217037461,0.8304033058440103
IRL,2019,-0.49195140078805466,-0.13633429899301575,-0.30249798068815875,0,0,0,-0.2071795388966191,1.0691837755640015
IRL,2020,-0.4781599731906312,-0.11300951029592411,-0.28033939034433253,0,0,0,-0.20080320090329143,1.1154649323859605
IRL,2021,-0.42983298722941177,-0.04057956102205809,-0.17393031238642023,0,0,0,-0.19676868820637303,1.4755825232522517
IRL,2022,-0.41732382046232724,-0.0017825239039234609,-0.10801643380403175,0,0,0,-0.1975609018542182,1.8448585157977777
ISL,2015,-0.7610837017336429,-0.11817325499376943,-0.6478337419240789,0,0,1,2.017985307367098,-0.167199481446629
ISL,2016,-0.7577783182598803,-0.08217260903494582,-0.6457920139159986,0,0,1,2.1637724263383276,-0.2206462369170626
